Weight,Length,Height,Width
5.9,8.4,2.112,1.408
32,13.7,3.528,1.9992
40,15,3.824,2.432
51.5,16.2,4.5924,2.6316
70,17.4,4.588,2.9415
100,18,5.2224,3.3216
78,18.7,5.1992,3.1234
80,19,5.6358,3.0502
85,19.6,5.1376,3.0368
85,20,5.082,2.772
110,21,5.6925,3.555
115,21,5.9175,3.3075
125,21,5.6925,3.6675
130,21.3,6.384,3.534
120,22,6.11,3.4075
120,22,5.64,3.525
130,22,6.11,3.525
135,22,5.875,3.525
110,22,5.5225,3.995
130,22.5,5.856,3.624
150,22.5,6.792,3.624
145,22.7,5.9532,3.63
150,23,5.2185,3.626
170,23.5,6.275,3.725
225,24,7.293,3.723
145,24,6.375,3.825
188,24.6,6.7334,4.1658
180,25,6.4395,3.6835
197,25.6,6.561,4.239
218,26.5,7.168,4.144
300,27.3,8.323,5.1373
260,27.5,7.1672,4.335
265,27.5,7.0516,4.335
250,27.5,7.2828,4.5662
250,28,7.8204,4.2042
300,28.7,7.5852,4.6354
320,30,7.6156,4.7716
514,32.8,10.03,6.018
556,34.5,10.2565,6.3875
840,35,11.4884,7.7957
685,36.5,10.881,6.864
700,36,10.6091,6.7408
700,37,10.835,6.2646
690,37,10.5717,6.3666
900,39,11.1366,7.4934
650,39,11.1366,6.003
820,39,12.4313,7.3514
850,40,11.9286,7.1064
900,40,11.73,7.225
1015,40,12.3808,7.4624
820,40,11.135,6.63
1100,42,12.8002,6.8684
1000,43,11.9328,7.2772
1100,43,12.5125,7.4165
1000,43.5,12.604,8.142
1000,44,12.4888,7.5958
